"TC_retailer_code";"total_loyality"
6920;122
6905;78
9999;73
6901;71
4904;70
6904;67
4914;58
5850;54
5853;51
7003;42
4903;40
5999;39
9101;39
3999;36
5899;35
7005;33
130;32
3997;32
6999;32
9302;28
248;28
5851;28
6205;27
4999;27
7099;24
9;22
9399;22
4901;21
6199;20
181;19
79;18
8799;18
4599;18
817;14
6600;14
9299;14
120;14
32;13
42;13
5799;13
240;13
9103;13
7299;13
9104;12
9303;12
8399;12
7499;12
9099;12
24;12
29;11
6921;11
294;11
839;11
151;11
5855;10
239;10
272;9
34;9
111;9
6919;9
7010;9
4499;9
128;8
9002;8
9899;8
4401;8
6;8
379;7
4918;7
8001;7
221;7
7199;7
6799;7
7599;6
4908;6
257;6
97;6
6899;5
9699;5
219;5
7006;5
7750;5
9199;5
265;5
156;5
60;5
9599;5
201;4
7698;4
61;4
2;4
4405;4
847;4
843;4
6402;4
6249;4
8106;4
6914;4
296;3
849;3
5905;3
5852;3
687;3
31;3
101;3
4825;3
7011;3
290;3
4849;3
47;3
527;3
5911;3
28;3
851;3
7697;3
326;3
9304;3
7399;3
62;3
174;3
5699;3
4099;3
4937;3
311;3
87;3
77;2
9499;2
153;2
4840;2
408;2
21;2
90;2
105;2
5751;2
6916;2
7004;2
7699;2
5901;2
100;2
5904;2
252;2
807;2
288;2
4839;2
5902;2
8299;2
4817;2
4823;2
36;2
5907;2
4699;2
6403;2
8899;2
233;2
78;2
136;2
172;2
117;2
5299;2
126;2
815;2
5050;2
182;2
6599;2
289;1
453;1
9403;1
4456;1
274;1
275;1
5649;1
4399;1
185;1
9024;1
4952;1
4402;1
620;1
6918;1
152;1
86;1
7012;1
6907;1
7751;1
6501;1
855;1
8109;1
194;1
342;1
4807;1
848;1
6203;1
859;1
5903;1
7451;1
69;1
8199;1
842;1
92;1
8107;1
853;1
341;1
8;1
222;1
333;1
6207;1
158;1
4934;1
125;1
863;1
416;1
9318;1
5399;1
5599;1
578;1
468;1
72;1
209;1
5910;1
4926;1
124;1
224;1
104;1
6924;1
123;1
8108;1
4039;1
338;1
276;1
857;1
775;1
44;1
95;1
7269;1
304;1
309;1
5906;1
9005;1
8891;1
6202;1
351;1
183;1
283;1
281;1
68;1
197;1
285;1
189;1
38;1
9301;1
4912;1
313;1
210;1
4452;1
8699;1
6854;1
89;1
315;1
443;1
555;1
542;1
9313;1
4920;1
4931;1
9023;1
331;1
9008;1
9110;1
229;1
279;1
9018;1
4826;1
5099;1
832;1
