hh_id,hh_race,hh_is_latinx,hh_zip_code,hh_state,hh_income,hh_size,hh_residence_type
8111969,1,2,55060,MN,23,2,1
8129463,1,1,63303,MO,26,3,1
8051402,1,2,28214,NC,16,1,1
8046904,2,1,28054,NC,18,5,1
8048097,1,2,85250,AZ,21,2,2
8097653,1,2,28147,NC,17,5,3
2028246,1,2,78258,TX,23,2,1
8027117,1,2,63366,MO,26,2,1
8278330,1,2,13069,NY,16,1,5
8102899,1,2,45244,OH,26,3,1
8096831,1,2,33024,FL,13,4,1
2040955,1,2,7461,NJ,16,3,5
8134884,1,2,60641,IL,27,4,1
8123965,1,2,43055,OH,21,4,1
8097477,1,2,98339,WA,18,1,1
8134358,2,2,33169,FL,26,4,1
8050044,1,2,77013,TX,15,1,7
8033086,1,2,2346,MA,18,2,1
8109111,1,2,77566,TX,26,3,1
8095959,1,2,47591,IN,13,2,1
8008123,1,2,81506,CO,27,2,1
2001456,1,2,44130,OH,17,2,5
9174386,1,2,24153,VA,13,2,1
8187340,1,2,14609,NY,11,2,1
8040122,1,2,2066,MA,13,2,1
4122566,1,2,7801,NJ,17,1,5
8004518,1,2,34652,FL,11,2,1
8018311,1,2,80210,CO,16,1,1
6028839,1,2,60172,IL,26,5,1
8212154,1,2,48609,MI,26,4,1
8002024,1,2,33952,FL,13,2,1
8212264,1,2,49677,MI,4,2,1
8064241,3,2,67501,KS,21,3,1
8244117,3,2,60640,IL,11,2,5
2094423,1,2,30339,GA,26,1,5
2074356,1,2,60615,IL,23,2,1
8083239,1,2,77802,TX,23,5,1
8246662,1,2,71292,LA,13,3,1
8061563,1,2,14225,NY,26,2,1
8108228,1,2,31546,GA,13,3,1
8035058,1,2,85033,AZ,11,1,1
8162873,1,2,65565,MO,13,2,1
8153816,1,2,14559,NY,26,2,1
8047157,1,2,28205,NC,15,2,1
2068922,1,2,63123,MO,13,1,6
8061896,1,2,14420,NY,13,3,1
2087641,1,2,19551,PA,17,2,1
8146684,1,2,43762,OH,21,4,1
2090614,1,2,23435,VA,26,4,1
8159098,1,2,2893,RI,21,1,1
8147341,1,2,3054,NH,15,1,1
2012198,1,2,17301,PA,21,5,1
2069436,2,2,19144,PA,11,2,1
2090478,1,2,22206,VA,6,1,5
8123354,1,2,28083,NC,3,1,1
2038386,1,2,48610,MI,17,4,1
8073731,1,2,14020,NY,21,2,1
8061710,1,2,14227,NY,27,4,1
2073952,1,2,46373,IN,13,1,1
8015948,1,2,43338,OH,13,2,7
8233652,1,2,60661,IL,23,2,5
8047531,1,2,28210,NC,11,2,1
8152356,3,2,98387,WA,18,2,7
9092412,1,2,33068,FL,26,2,1
8067378,1,2,98031,WA,17,1,5
8298051,1,2,96151,CA,15,3,5
8305244,1,2,54555,WI,17,4,1
8063069,1,2,14450,NY,13,1,1
8195937,1,2,34145,FL,21,6,1
8282778,1,2,75044,TX,23,1,1
2068392,1,2,33594,FL,13,2,7
2080667,1,2,18360,PA,16,2,1
8055409,1,2,77503,TX,11,2,1
8304624,1,2,6457,CT,16,1,1
9090053,1,2,28146,NC,10,2,1
8018709,1,2,58075,ND,16,1,5
8235722,4,2,92860,CA,27,2,1
2065903,1,2,8080,NJ,27,4,1
8060913,1,2,14132,NY,13,1,1
2025971,1,2,78254,TX,18,2,1
8048151,1,2,1803,MA,21,3,1
8288946,1,2,72901,AR,17,1,1
8022066,1,2,63010,MO,17,3,1
2061295,1,2,78861,TX,16,1,7
9077492,2,2,19128,PA,26,3,1
8049668,1,2,77590,TX,15,2,1
8139506,1,2,6279,CT,19,1,1
8265520,1,2,34117,FL,8,1,1
8287985,1,2,34232,FL,16,1,1
2070063,1,2,32159,FL,18,2,1
2071607,1,2,17557,PA,18,4,7
8140490,1,2,80631,CO,16,2,1
8214595,1,2,2673,MA,23,3,1
8238581,1,2,43204,OH,17,2,3
8228575,2,2,2155,MA,18,1,5
8209959,1,2,2822,RI,23,4,1
8048902,1,2,28658,NC,13,2,1
8235450,1,2,78411,TX,10,2,1
8301229,1,2,49829,MI,19,4,1
8123565,1,2,6460,CT,18,2,2
9086126,1,2,11706,NY,21,2,1
8130198,1,1,88005,NM,26,4,1
2080622,1,2,30114,GA,6,2,1
8044980,2,2,29732,SC,17,2,1
2095742,1,2,60077,IL,23,3,1
2012202,1,2,17319,PA,17,2,1
8292156,4,1,78574,TX,18,3,1
2020892,1,2,71112,LA,15,1,1
8261744,1,2,36330,AL,21,3,1
8263568,1,2,72081,AR,13,2,1
2005093,1,2,60002,IL,21,2,1
8254935,1,2,72701,AR,16,6,1
